address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
11525 87 Street,Edmonton,T5B 3M4,Parkdale (Edmonton),AB,5,3,2,1,"$350,000",-1.0,1130,1990,10/8/2021,"So much to offer the lucky new owner!! This bi level has 5 bedrooms - 3 up and 2 down with a side separate entrance. 2 full kitchens, 2 bathrooms and 2 laundry areas. Low maintenance yard in the back with a studio / gym garage for small business. Beautiful new upgraded flooring, easy care with no carpets anywhere! Very nice, freshly painted floorplan, very good condition, nice and bright in the basement with large windows. Great in-law suite, nice and private with lots of light.  This home is located near downtown, LRT and a major bus route. An excellent investment for the right person."
124 Campbell Road,Leduc,T9E 8G5,Tribute,AB,4,2,2,-1,"$308,000",3382.99,833,2003,10/8/2021,"NICELY RENOVATED! LARGE YARD! BACKING TREES! FULLY FINISHED HOME! Looking for turnkey with a modern colour pallet? This 4 bed, 2 bath home shows a 10 and is great for families on a budget! Featuring NEW vinyl plank flooring, paint, carpets, tile, freshly stained deck, fences, and more! Large entryway leads upstairs to an open concept living / dining space w/ L shaped kitchen, S/S appliances, and large south facing windows leading to the deck! 2 bedrooms including the primary, 4 pce bath. The basement is very bright, with large windows in the 3rd & 4th bedrooms, laundry, 4 pce bath, and spacious family room for movie nights or playspace for the kids! The south facing yard is awesome & ideal for summer BBQs or entertaining! Large 2 tier deck, pergola, walkway, storage shed, and parking space in the rear. No neighbours directly behind, and walking distance to Caledonia School; great spot to be! Don't miss it, call Tribute home today!"
8410 94 Avenue,Fort Saskatchewan,T8L 2R6,Pineview Fort Sask.,AB,5,3,2,1,"$334,900",-1.0,1265,1976,10/8/2021,"Gem of a house with fully finished basement and large garage. Upgraded: shingles, windows, furnace, HW tank, trim, doors paint, siding. Large living room with wood burning fireplace. Huge kitchen. Good sized master bedroom with 2 piece ensuite. Bedrooms 2 and 3 on main. Four piece bath. Fully finished lower level: Family room, summer kitchen, 2 bedrooms, full bath. Split entry at back for upper and lower floors. Large garage - roughed in gas, plywood sheeted interior. Fenced yard and dog run. Close to shopping, schools, rec centre."
30 Salisbury Avenue,St. Albert,T8N 0L9,Sturgeon Heights,AB,5,2,2,-1,"$449,900",7082.65,1041,1960,10/8/2021,"Check Out this beautifully renovated Bungalow in Sturgeon Heights St Albert, Fully Self Contained Legal 2 bedroom Suite with it's own laundry room and entrance. Newer Kitchens and bathrooms up and down, Vinyl windows, Double Garage, Upgraded furnace and Water heater, Shingles are newer, Nothing to do but earn income. Suite was built for owners use and has extra insulation and sound barrier between floors and better finishing than you would normally find in a bsmt suite. Main floor has garden door from kitchen to 2 tier deck and landscaped yard. Suite has it's own deck. Property is Air Conditioned. Don't miss out!"
28 Douglas Lane,Leduc,T9E 8P5,Tribute,AB,4,1,1,-1,"$275,000",3444.02,1047,2004,10/8/2021,"PRIDE OF OWNERSHIP! FULLY FENCED YARD! BACKING WALKING TRAIL! GREAT VALUE! Looking for a budget friendly detached home with plenty of space to grow into? Perhaps an investment property with great cashflow potential? This 4 BEDROOM bi-level home checks the boxes! Fully landscaped and NEWLY FENCED yard for the pets, plenty of rear parking, and shed for storage! Your main floor features 3 bedrooms including the primary, 4 pce bath, L-shaped kitchen w/ island, spacious living room with vaulted ceilings, and access to the deck & great views off the back! The basement is home to laundry, 4th bedroom, partially framed rec room & rough-in for a bathroom, and ample storage; great space to finish for your growing family! Located only steps to Elk Community Park, shopping, and quick access to Hwy 2A, location is great! Don't miss it!"
10220 166 Avenue,Edmonton,T5X 2G5,Lorelei,AB,4,2,2,-1,"$324,900",6596.98,1278,1976,10/8/2021,"WELCOME HOME! This lovely updated 4 bedroom bungalow with double detached garage nestled in the sought after neighborhood of Lorelei is perfect for the first time home buyer or young family. The upstairs offers a large living room and kitchen with plenty of counter and cupboard space that overlooks a spacious sunk-in Family room. Down the hall you will find your large primary bedroom. The renovated 4 pc main bathroom and 2 other good sized bedrooms completes the main floor. In the Basement there is 1 more bedroom, a Bar perfect for entertaining guests, A large great room and 3pc bath as well as opportunity for another bedroom. Outside you can take in the peace and quiet in your private fully fenced backyard and large Deck. Upgrades include: Shingles, and Hwt Tank, Paint, Vinyl plank flooring & Trim"
21A 453001 Hwy 771,Rural Wetaskiwin County,T0C 2V0,Byrr Anne Estate,AB,6,2,2,-1,"$359,900",-1.0,1173,1980,10/8/2021,"Beautiful private setting with just under 10 acres and 2 fully renovated dwellings. 1175 sq. ft. bungalow with 3 bedrooms, newer siding, shingles, windows, electrical, hot water tank, pressure tank, well pump, plumbing, drywall and paint. The guest house has all new siding, new front and back decks, windows, vinyl plank flooring, light fixtures, kitchen cupboards, inside doors. hot water tank, and fresh paint. The garage is 26 x 22 with a 22 x 14 work shop/storage area that would fit another vehicle. Numerous trails through out the property. An excellent private camping spot and a full service RV spot by the garage. Large pasture area perfect for livestock. All this only minutes from Pigeon Lake, Battle Lake and golf courses."
5011 45 Avenue,Calmar,T0C 0V0,Calmar,AB,3,2,2,-1,"$199,000",-1.0,1134,1989,10/8/2021,"Affordable living in a quiet community! This home has been meticulously maintained and is in immaculate condition. With over 1,100sq ft of living space, there are 3 bedrooms, 2 bathrooms, a large living room, dining room and kitchen. The primary bedroom is spacious, with a large closest and a fantastic 3 piece bathroom complete with a large soaker tub! There are windows on all sides of the home, allowing natural light in all day. If it is too warm on those hot summer days, no worries, there is central air conditioning! Outside, the south facing back yard, is in the same pristine condition. The large yard is fully fenced with gorgeous trees and loads of sunlight for when you want to sit out and enjoy the gorgeous patio. The double detached, oversized, insulated and heated garage has ample parking space as well as built in benches to work on all your projects! The new metal roof on both the home and garage ensure you will not have to replace shingles again!"
10414 77 Street,Edmonton,T6A 3C6,Forest Heights (Edmonton),AB,4,3,3,-1,"$624,900",6338.0,1170,1956,10/8/2021,"This stylish, renovated bungalow on a quiet Forest Heights street is absolutely beautiful. A contemporary exterior opens to a sleek, light interior with elegant black and gold accents. A sun-drenched living area has big, new windows and a chic electric fireplace. A statement chandelier centres the dining room as the open layout flows into a bright, modern kitchen. A spacious primary suite has built-in double armoires and a stunning ensuite tucked behind a barn door, where greys in the dual vanity counter and the tiled rainfall shower enhance the serene natural palette. In the basement, a massive entertainment area is complete with another fireplace and a wet bar. There are two bedrooms and another tastefully finished bathroom here. A vast west-facing yard with a huge patio and a lush lawn begs for entertaining, and the garage has also been renovated. This central community is popular for its schools, parks, golf, and proximity to the river. See this beauty today!"
944 166 Avenue,Edmonton,T5Y 0P6,Rural North East South Sturgeon,AB,10,17,15,2,"$2,295,000",19730.87,8177,2017,10/8/2021,"ONCE IN A LIFETIME OPPORTUNITY and the photos speak for themselves!  This property is 3-HOMES-IN-ONE and the options are unlimited. Live in one and rent two, or have your entire family live together where EVERYONE still ENJOYS THEIR COMPLETE PRIVACY, or AIR BnB, or bed and breakfast.  ESTATE HOME w/ OVER 12,000 SQ FEET OF DEVELOPED LIVING SPACE AND LOADED WITH UPGRADES - just take a look at the PHOTOS AND FLOOR PLAN TO BE AMAZED!  The main Living area of the home has 8 BEDROOMS, 8.5 BATHROOMS, den, bonus room, 2 OPEN-TO-BELOW AREAS, DINING ROOM THAT SEATS 14 COMFORTABLY, BASEMENT THEATRE ROOM, & BALCONY.   The second space is on the main level and has its own kitchen, dinning area,2 bedrooms and 2.5 bathrooms and access to the expansive Balcony. The walkout basement has a nearly 4000 SQ FT COMPLETE WITH KITCHEN, four bedrooms, 5 bathrooms, gym, cold storage. 13/14 bedrooms have private ensuite washroom.  All this with a 4-CAR GARAGE and located on an EXCEPTIONAL 0.45 ACRE LOT in the river valley!"
9815 205 Street,Edmonton,T5T 4V8,Stewart Greens,AB,3,3,2,1,"$644,800",4243.56,2347,2021,10/8/2021,"Gorgeous ENERGY EFFICIENT 2352 sf home built by New Era Luxury Homes.  Perfect for homeowners looking for an open concept plan w/3 beds+2.5 bath. Beautiful great rm overlooking the lake w/feature FP & 9' main floor + basement ceilings. LVP flooring on main level w/a den & huge Chef's kitchen featuring quartz counters, sleek cabinetry, huge island, wall oven & cook top stove setup ($5K appl allowance) + a walk thru pantry to mud rm. Staircase leads to upper lvl incl a spacious laundry rm & large bonus rm w/tray ceilings. Relax in the large private master w/a spa-like ensuite, O/S tile shower 10 mil glass, free standing soaker tub + his/hers sinks. OVERSIZE garage fits a large SUV. Upg insulation, 96% eff F/A & Triple glazed windows Low E argon. Please note, home is currently under construction and estimated completion is Oct end. Pictures are from other similar homes built and actual finishes may vary."
112 April Way (Tiger Lake Estates),Rural Barrhead County,T7N 1N3,Tiger Lake Estates,AB,2,-1,-1,-1,"$174,900",-1.0,1152,2012,10/8/2021,"Amazing Log Home Property w/ Double car Garage overlooking Tiger Lake in the Tiger Lake subdivision East of Barrhead. This property is a True quality custom Log Home by local builder Karma Log Homes. Open concept style w/ flexible upper level   loft for bedroom or den, additional main floor bedroom & developable Bathroom space. Lifetime metal Roof. Drilled Well & Power. Insulated & Drywalled double car Garage. Unobstructed Southerly views across permanent green space overlooking Tiger Lake. Easy access to rec activities including canoeing, kayaking, hiking & quad trails. What a find, What an option featuring Atmosphere, Curb Appeal, Quality Outbuilding support, Mature Yard & Tree cover & accenting plus much more to see & feel."
13008 63 Avenue,Edmonton,T6H 1S1,Grandview Heights (Edmonton),AB,4,3,2,1,"$819,900",7955.28,1302,1963,10/8/2021,"Lovingly maintained bungalow in the highly desirable community of Grandview Heights.  This 3+1 bedroom home features beautiful oak hardwood throughout the main floor, a large, open and bright L-shaped living room/dining room and a very spacious eat in kitchen with custom oak cabinets and granite countertops.  The fully finished basement has a generous family room open to a sizeable recreation room, a 4th bedroom, cold storage room, 2-pc bath and a flex space with shower. The house has great curb appeal and the attractive back yard is large, fully fenced and has a two-tiered deck, patio and raised beds.  The double detached garage has a separate tool shed at the front.  Grandview Heights is a lovely community that is currently undergoing neighbourhood renewal and boasts the highly rated Grandview Heights School (grades 1-9) a 5-minute walk from the house.  Also within easy walking distance to Whitemud Creek and numerous walking trails and in close proximity to the U of A, hospitals and downtown."
